MONTH,REPUBLICAN,R_MOM,R_YR_CHANGE,DEMOCRAT,D_MOM,D_YR_CHANGE,MINOR,M_MOM,M_YR_CHANGE,NONE,N_MOM,N_YR_CHANGE,TOTALS,T_MOM,TOT_YR_CHANGE
1/31/2020,4793897,32492,,5039757,53237,,149740,2194,,3633003,-8356,,13616397,79567,
2/29/2020,4832285,38388,,5115768,76011,,152175,2435,,3630535,-2468,,13730763,114366,
3/31/2020,4857071,24786,,5145706,29938,,155755,3580,,3607575,-22960,,13766107,35344,
4/30/2020,4851116,-5955,,5127920,-17786,,157639,1884,,3595208,-12367,,13731883,-34224,
5/31/2020,4854827,3711,,5121766,-6154,,161286,3647,,3591749,-3459,,13729628,-2255,
6/30/2020,4892347,37520,,5142554,20788,,168865,7579,,3605685,13936,,13809451,79823,
7/31/2020,4938433,46086,,5176890,34336,,175279,6414,,3634929,29244,,13925531,116080,
8/31/2020,5020199,81766,,5203795,26905,,188587,13308,,3653046,18117,,14065627,140096,
9/30/2020,5125283,105084,,5268164,64369,,208599,20012,,3714293,61247,,14316339,250712,
10/31/2020,5219015,93732,,5335965,67801,,223535,14936,,3790478,76185,,14568993,252654,
11/30/2020,5233242,14227,,5340228,4263,,227439,3904,,3807047,16569,,14607956,38963,
12/31/2020,5218739,-14503,457334,5315954,-24274,329434,231246,3807,83700,3799799,-7248,158440,14565738,-42218,1028908
1/31/2021,5188520,-30219,,5299096,-16858,,240803,9557,,3810837,11038,,14539256,-26482,
2/28/2021,5183415,-5105,,5295008,-4088,,244678,3875,,3820892,10055,,14543993,4737,
3/31/2021,5185744,2329,,5290465,-4543,,247108,2430,,3832070,11178,,14555387,11394,
4/30/2021,5178159,-7585,,5267864,-22601,,248276,1168,,3829504,-2566,,14523803,-31584,
5/31/2021,5171308,-6851,,5247592,-20272,,249163,887,,3830325,821,,14498388,-25415,
6/30/2021,5171510,202,,5235110,-12482,,249793,630,,3838210,7885,,14494623,-3765,
7/31/2021,5151719,-19791,,5205765,-29345,,249742,-51,,3830672,-7538,,14437898,-56725,
8/31/2021,5107763,-43956,,5131314,-74451,,248992,-750,,3790948,-39724,,14279017,-158881,
9/30/2021,5107378,-385,,5120077,-11237,,250640,1648,,3798938,7990,,14277033,-1984,
10/31/2021,5118357,10979,,5114039,-6038,,252492,1852,,3814567,15629,,14299455,22422,
11/30/2021,5120076,1719,,5095008,-19031,,253020,528,,3816816,2249,,14284920,-14535,
12/31/2021,5123799,3723,-94940,5080697,-14311,-235257,253843,823,22597,3829372,12556,29573,14287711,2791,-278027
